	Linear	regression	Scaling						
Year	F3	F5	F3	F5					
1238	19.333	19.316	19.457	19.39		1.3882920047	1.3402418383	1.3877564462	1.3391275934
1239	19.421	19.394	19.572	19.483		1.5794334363	1.5074981086	1.5792587604	1.5066017119
1240	19.414	19.406	19.563	19.498		1.5642290043	1.5332298425	1.5642716228	1.5336136665
1241	19.365	19.382	19.499	19.469		1.4577979799	1.4817663747	1.4576964218	1.4813905543
1242	19.332	19.352	19.456	19.433		1.386119943	1.41743704	1.3860912087	1.4165618633
1243	19.325	19.34	19.447	19.419		1.370915511	1.3917053061	1.3711040711	1.3913507056
1244	19.332	19.338	19.455	19.416		1.386119943	1.3874166838	1.3844259712	1.3859483147
1245	19.331	19.334	19.455	19.413		1.3839478813	1.3788394391	1.3844259712	1.3805459238
1246	19.316	19.321	19.435	19.397		1.3513669555	1.3509633941	1.3511212209	1.3517331722
1247	19.293	19.298	19.405	19.369		1.3014095358	1.3016442374	1.3011640955	1.301310857
1248	19.262	19.264	19.365	19.328		1.2340756224	1.2287376581	1.2345545949	1.2274781811
1249	19.215	19.218	19.303	19.273		1.1319887215	1.1300993448	1.131309869	1.1284343475
1250	19.157	19.175	19.228	19.222		1.0060091416	1.037893965	1.0064170554	1.0365937019
1251	19.125	19.154	19.186	19.198		0.9365031664	0.9928634306	0.9364770798	0.9933745746
1252	19.152	19.175	19.221	19.223		0.995148833	1.037893965	0.9947603928	1.0383944989
1253	19.22	19.223	19.31	19.28		1.1428490301	1.1408209006	1.1429665316	1.1410399264
1254	19.279	19.271	19.387	19.337		1.2710006717	1.2437478362	1.2711898202	1.2436853538
1255	19.299	19.294	19.412	19.364		1.3144419062	1.2930669928	1.3128207581	1.2923068721
1256	19.286	19.292	19.396	19.362		1.2862051038	1.2887783705	1.2861769578	1.2887052782
1257	19.268	19.28	19.373	19.347		1.2471079928	1.2630466366	1.247876495	1.2616933236
1258	19.259	19.27	19.36	19.336		1.2275594373	1.241603525	1.2262284073	1.2418845569
1259	19.257	19.267	19.358	19.332		1.2232153138	1.2351705915	1.2228979323	1.234681369
1260	19.259	19.269	19.361	19.335		1.2275594373	1.2394592138	1.2278936448	1.2400837599
1261	19.267	19.277	19.371	19.344		1.2449359311	1.2566137031	1.24454602	1.2562909327
1262	19.28	19.289	19.388	19.358		1.2731727334	1.282345437	1.2728550577	1.2815020903
1263	19.295	19.302	19.407	19.374		1.3057536593	1.3102214821	1.3044945705	1.3103148418
1264	19.307	19.315	19.424	19.389		1.3318184	1.3380975271	1.3328036082	1.3373267964
1265	19.317	19.324	19.437	19.4		1.3535390172	1.3573963276	1.3544516959	1.3571355632
1266	19.322	19.322	19.443	19.398		1.3643993258	1.3531077052	1.364443121	1.3535339692
1267	19.307	19.304	19.423	19.376		1.3318184	1.3145101044	1.3311383707	1.3139164358
1268	19.263	19.266	19.366	19.331		1.2362476842	1.2330262804	1.2362198324	1.232880572
1269	19.209	19.225	19.295	19.283		1.1189563511	1.1451095229	1.1179879689	1.1464423173
1270	19.177	19.198	19.254	19.25		1.049450376	1.0872131216	1.0497132308	1.0870160172
1271	19.182	19.196	19.26	19.248		1.0603106846	1.0829244993	1.0597046558	1.0834144232
